EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,2,5,4,2,2,5,4,2,1,2,2,5,5,2,5,5,4,2,2,2,2,5,5,2,2,2,5,1,2,2,2,5,5,2,2,1,4,1,2,2,2,5,5,1,2,2,5,13,43,28,25,39,90.09761252623504,82.91913751143704,16.684345456354073,62.72533070170514,71.01555044068938,high,high,low,high,high
1,2,2,2,5,5,2,2,4,4,2,5,2,1,5,5,2,5,5,4,2,2,2,2,5,5,2,2,2,5,1,2,2,2,5,4,2,2,2,5,1,5,2,2,5,5,2,2,4,5,13,40,28,25,40,90.09761252623504,78.62373330733222,16.684345456354073,62.72533070170514,26.276393842068824,high,high,low,high,low
1,2,2,2,4,5,2,2,4,4,1,5,3,4,5,5,2,5,5,4,1,2,2,5,5,2,2,2,2,5,1,2,2,2,4,5,2,2,1,5,1,2,2,2,5,4,1,2,2,5,14,37,24,26,38,20.67768365504791,72.51416026733875,93.15569843037956,16.971441121751216,30.8161494512681,low,high,high,low,low
1,2,2,4,4,4,2,2,5,4,2,5,2,2,5,5,2,5,5,4,2,2,2,2,5,4,1,2,2,5,1,2,2,2,4,2,2,2,1,5,1,2,2,2,5,4,2,2,2,5,18,41,24,25,38,13.51772458710916,80.03094526863389,93.15569843037956,62.72533070170514,30.8161494512681,low,high,high,high,low
1,2,2,2,5,5,2,2,5,4,1,5,2,4,5,5,2,4,5,5,2,2,2,2,5,5,2,2,2,5,1,2,2,2,4,2,2,2,1,4,1,5,2,2,5,5,2,2,4,5,14,39,28,26,37,20.67768365504791,58.10382915690394,16.684345456354073,16.971441121751216,79.89197717811061,low,high,low,low,high
1,1,2,4,4,2,2,2,5,4,2,2,2,2,5,4,2,5,5,4,1,2,2,2,5,2,2,2,4,5,1,2,2,2,5,2,2,2,2,5,1,2,2,1,5,5,2,2,1,5,21,40,29,25,39,70.36759078969529,78.62373330733222,84.55011666031412,62.72533070170514,71.01555044068938,high,high,high,high,high
1,2,2,2,5,2,2,2,5,4,2,1,2,2,5,4,2,2,5,4,2,2,2,4,5,4,2,2,2,5,1,1,2,1,5,4,2,2,4,4,1,1,2,2,5,4,2,2,4,5,19,37,29,28,39,96.9716577977251,72.51416026733875,84.55011666031412,55.48786072856311,71.01555044068938,high,high,high,high,high
1,2,2,4,5,5,2,2,5,4,1,1,2,2,5,5,2,4,5,4,2,1,2,2,5,5,1,4,2,5,1,2,2,2,4,5,2,2,4,5,1,1,2,4,5,4,1,2,1,5,12,37,27,24,39,85.53303766911806,72.51416026733875,25.538415172833563,75.94729258446176,71.01555044068938,high,high,low,high,high
1,2,2,2,5,2,2,4,5,4,2,2,2,1,5,5,2,4,5,4,2,2,2,2,5,4,2,2,2,5,1,2,2,1,5,5,2,2,1,5,1,2,2,2,4,5,2,2,2,5,16,45,28,24,39,49.78357024881296,39.54553199368488,16.684345456354073,75.94729258446176,71.01555044068938,low,low,low,high,high
1,2,2,4,5,5,2,4,5,4,1,5,2,1,5,5,2,5,5,5,2,2,2,4,5,2,2,2,1,5,1,2,2,4,5,5,2,2,2,5,1,2,2,1,5,4,2,2,4,5,15,37,25,23,39,68.10647851313007,72.51416026733875,97.12618716273646,22.402818363485764,71.01555044068938,high,high,high,low,high
1,2,2,4,5,2,2,4,4,4,2,1,3,2,5,4,2,5,5,4,2,2,2,2,5,4,2,2,2,5,1,2,2,2,4,2,1,2,2,5,1,1,2,2,4,5,2,2,2,5,20,39,27,24,38,10.625592781144464,58.10382915690394,25.538415172833563,75.94729258446176,30.8161494512681,low,high,low,high,low
1,2,2,2,4,5,2,2,5,4,2,1,3,2,5,5,2,5,5,5,2,2,2,2,5,2,2,2,2,5,1,2,2,4,5,4,2,2,2,5,1,2,2,4,5,4,2,2,4,5,17,36,29,26,38,56.8825645768269,99.6997067980117,84.55011666031412,16.971441121751216,30.8161494512681,high,high,high,low,low
1,2,2,4,4,2,2,2,4,4,2,1,2,2,5,5,2,2,5,5,2,2,2,4,5,4,2,2,2,5,1,2,2,2,5,2,2,2,4,5,1,1,2,2,5,5,1,2,2,5,19,35,27,28,38,96.9716577977251,53.631637055925054,25.538415172833563,55.48786072856311,30.8161494512681,high,high,low,high,low
1,2,2,2,5,4,2,5,5,4,2,1,4,1,5,4,2,5,5,5,2,2,2,2,5,4,1,4,2,5,1,2,2,2,4,2,1,2,2,4,1,1,2,4,4,5,2,2,4,5,18,39,26,22,36,13.51772458710916,58.10382915690394,30.776359863336555,88.29861100851832,47.73568682836604,low,high,low,high,low
1,2,2,4,5,4,2,5,5,4,2,1,3,2,5,5,2,5,5,5,2,2,2,2,5,4,2,2,2,5,1,2,2,4,5,5,2,2,4,5,1,2,2,2,5,5,2,2,4,5,14,34,29,23,39,20.67768365504791,27.09730031585448,84.55011666031412,22.402818363485764,71.01555044068938,low,low,high,low,high
1,2,2,2,5,5,2,2,5,4,1,1,2,2,5,5,2,5,5,5,2,2,2,4,5,5,2,4,2,5,1,2,2,2,5,2,2,2,4,4,1,2,2,2,5,5,1,2,2,5,14,38,28,23,38,20.67768365504791,3.351090914283969,16.684345456354073,22.402818363485764,30.8161494512681,low,low,low,low,low
1,2,2,2,5,5,2,2,5,4,2,1,2,2,5,4,2,2,5,5,2,1,2,2,5,2,1,4,2,5,1,2,2,4,4,2,1,2,2,4,1,1,2,2,5,5,1,2,2,5,19,40,26,26,37,96.9716577977251,78.62373330733222,30.776359863336555,16.971441121751216,79.89197717811061,high,high,low,low,high
