EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,5,1,2,2,2,2,5,3,5,5,2,2,1,2,1,2,2,5,1,4,5,1,1,2,1,3,2,2,5,2,5,2,2,3,1,2,2,1.0,5,2,2,2,2,1,2,5,2,1,11.0,-7.0,-6.0,15.0,0.0,23.179010795387956,80.03094526863389,71.09503112747343,39.95918612564645,24.09899728268631,low,high,high,low,low
5,4,2,2,1,1,2,2,2,5,5,5,2,1,1,1,1,2,5,5,1,4,5,1,1,2,1,4,2,3,5,4,3,1,2,2,1,2,1,,5,2,1,2,2,2,2,2,2,1,13.0,-5.0,-8.0,5.0,,10.758946994162551,82.91913751143704,77.43575803597018,17.22022453540239,,low,high,high,low,low
5,4,2,1,2,2,2,2,2,3,5,5,2,1,1,1,1,2,2,5,1,2,5,1,1,2,1,4,2,3,5,2,5,2,2,2,1,2,2,,2,2,1,2,2,2,2,4,1,1,9.0,-8.0,-4.0,9.0,,87.37084388397592,78.62373330733222,78.47127221298067,73.79648807641964,,high,high,high,high,low
5,4,2,1,1,2,2,2,2,3,2,5,5,1,1,2,1,2,5,5,1,2,5,1,1,2,1,4,2,1,5,2,2,2,2,5,1,2,1,,5,1,2,2,2,2,2,2,2,1,5.0,-5.0,-5.0,8.0,,98.82857089391642,82.91913751143704,76.42575253043067,75.56111690555193,,high,high,high,high,low
5,4,2,1,2,1,2,4,5,3,5,1,1,1,1,1,1,2,5,5,1,2,5,2,1,5,1,4,2,2,5,2,5,2,2,3,1,2,1,,5,2,1,1,2,1,2,2,2,1,10.0,-2.0,0.0,4.0,,27.42970095760932,71.09296285681363,93.15569843037956,55.48786072856311,,low,high,high,high,low
5,4,2,1,2,5,2,2,5,3,2,5,1,2,1,1,1,2,4,2,1,5,5,2,1,2,1,4,2,2,5,2,2,2,2,2,1,2,2,,2,1,2,1,2,1,2,2,2,1,4.0,-5.0,-8.0,4.0,,85.44154131469132,82.91913751143704,77.43575803597018,55.48786072856311,,high,high,high,high,low
5,4,2,1,2,1,1,4,5,2,5,1,2,1,1,2,1,2,2,5,2,2,5,2,1,2,1,4,1,2,5,2,2,2,2,3,2,2,1,,5,1,1,2,2,1,2,2,2,1,13.0,-5.0,-1.0,2.0,,10.758946994162551,82.91913751143704,88.30895236181736,16.971441121751216,,low,high,high,low,low
5,4,2,2,2,5,1,2,2,3,5,1,2,2,1,1,1,2,4,5,1,4,5,2,1,2,1,3,2,2,5,2,5,2,2,5,2,3,2,1.0,5,1,2,2,2,1,2,4,2,1,7.0,-10.0,-3.0,10.0,0.0,80.7216491799307,3.351090914283969,6.37559204247637,19.967478906101498,24.09899728268631,high,low,low,low,low
5,4,5,1,2,2,1,5,2,2,2,5,2,1,1,1,1,2,2,5,1,5,5,1,1,2,1,4,2,2,5,2,3,2,2,3,1,2,2,,2,1,1,2,2,2,2,2,2,1,5.0,-9.0,-9.0,5.0,,98.82857089391642,58.10382915690394,43.93844038603779,17.22022453540239,,high,high,low,low,low
5,4,5,1,2,2,2,2,4,3,2,1,1,1,1,1,1,2,2,5,5,2,5,1,1,2,1,4,2,2,5,2,5,2,2,2,1,2,2,1.0,5,3,2,2,2,1,2,2,1,1,14.0,-6.0,1.0,10.0,0.0,89.69705744178556,60.86211430445535,97.12618716273646,19.967478906101498,24.09899728268631,high,high,high,low,low
5,4,2,1,1,5,2,3,5,5,5,5,2,2,1,2,1,5,5,5,5,2,5,1,1,2,1,4,1,2,5,2,5,2,2,2,1,2,2,,5,2,1,2,2,2,2,2,2,1,12.0,-3.0,-4.0,3.0,,31.687186866284332,39.54553199368488,78.47127221298067,26.729640583803864,,low,low,high,low,low
5,4,5,1,2,2,2,5,5,3,5,5,2,2,1,2,1,2,2,5,1,5,5,2,1,5,1,2,2,1,5,2,5,2,2,2,1,2,2,,2,2,2,2,2,1,2,2,1,1,6.0,-7.0,-7.0,10.0,,59.521087004267535,80.03094526863389,6.154878016351157,19.967478906101498,,high,high,low,low,low
5,4,2,1,1,5,2,2,4,3,5,5,1,2,1,2,1,2,2,5,1,2,5,2,1,2,1,4,2,2,5,2,5,2,2,2,1,2,1,,5,2,1,2,2,1,2,2,2,1,9.0,-8.0,-4.0,6.0,,87.37084388397592,78.62373330733222,78.47127221298067,96.12317438180868,,high,high,high,high,low
5,4,2,1,1,5,2,2,5,2,2,5,2,2,1,1,1,2,2,5,5,2,5,2,1,5,1,3,2,2,5,2,5,2,2,2,1,2,2,,5,1,1,2,2,1,3,2,1,1,8.0,-7.0,-4.0,8.0,,31.573038023678745,80.03094526863389,78.47127221298067,75.56111690555193,,low,high,high,high,low
5,4,2,2,2,2,2,2,4,5,5,5,5,2,1,1,1,2,2,5,2,2,5,1,1,2,1,4,2,2,5,2,5,2,2,5,1,2,2,,5,1,2,1,2,1,2,4,2,1,11.0,-8.0,-5.0,13.0,,23.179010795387956,78.62373330733222,76.42575253043067,38.44590142622035,,low,high,high,low,low
5,4,5,1,2,1,2,2,5,2,5,5,2,1,1,1,1,2,4,5,1,2,5,2,1,2,1,3,2,1,5,2,2,2,2,2,1,2,2,,5,2,1,1,2,1,2,5,2,1,14.0,-4.0,-4.0,11.0,,89.69705744178556,21.7977014618734,78.47127221298067,63.65201444637811,,high,low,high,high,low
5,4,2,1,2,1,2,4,2,3,5,5,2,1,1,1,1,2,2,5,1,2,5,2,1,2,1,4,2,2,5,2,5,2,2,3,1,2,2,,5,2,2,2,2,1,3,5,1,1,13.0,-9.0,-3.0,9.0,,10.758946994162551,58.10382915690394,6.37559204247637,73.79648807641964,,low,high,low,high,low
5,4,2,1,1,1,2,3,2,5,5,5,2,1,1,2,1,5,2,5,1,2,5,1,1,5,1,4,2,2,5,2,3,2,2,5,2,5,2,,5,2,1,2,2,1,2,2,2,1,7.0,-9.0,-3.0,-2.0,,80.7216491799307,58.10382915690394,6.37559204247637,88.29861100851832,,high,high,low,high,low
5,4,5,1,2,2,2,4,5,2,5,1,1,2,1,1,1,2,5,2,2,5,5,2,1,5,1,4,1,2,5,2,3,2,2,2,1,2,1,1.0,2,2,2,2,2,1,2,2,2,1,8.0,-3.0,-3.0,6.0,4.0,31.573038023678745,39.54553199368488,6.37559204247637,96.12317438180868,57.77605750186391,low,low,low,high,high
5,4,5,1,1,1,2,2,5,2,5,5,2,1,1,2,1,2,2,5,1,5,5,2,1,2,1,4,2,2,5,2,2,2,2,2,1,2,2,,5,1,2,2,2,2,2,2,2,1,12.0,-7.0,-8.0,8.0,,31.687186866284332,80.03094526863389,77.43575803597018,75.56111690555193,,low,high,high,high,low
5,4,2,1,2,2,1,2,5,2,5,5,2,2,1,1,1,2,4,2,2,2,5,2,1,5,1,4,2,2,5,2,5,2,2,2,1,2,2,1.0,2,2,1,2,2,1,2,2,2,1,8.0,-6.0,-5.0,7.0,4.0,31.573038023678745,60.86211430445535,76.42575253043067,85.8815905198352,57.77605750186391,low,high,high,high,high
5,4,2,1,2,2,2,2,5,2,5,1,2,2,1,1,1,2,4,5,1,2,5,2,1,2,1,2,2,2,5,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,4,2,1,9.0,-6.0,1.0,9.0,,87.37084388397592,60.86211430445535,97.12618716273646,73.79648807641964,,high,high,high,high,low
5,4,5,1,2,2,2,4,4,2,5,1,1,1,1,1,1,2,2,5,5,2,5,2,1,2,1,4,2,2,5,2,2,2,2,5,2,2,2,,2,2,1,2,2,1,3,4,1,1,11.0,-7.0,2.0,6.0,,23.179010795387956,80.03094526863389,30.776359863336555,96.12317438180868,,low,high,low,high,low
5,4,2,1,2,2,1,2,2,3,2,5,2,1,1,1,1,2,2,2,1,4,5,2,1,2,1,4,2,2,5,2,5,2,2,2,1,2,1,1.0,5,2,2,2,2,2,2,4,2,1,9.0,-9.0,-7.0,10.0,3.0,87.37084388397592,58.10382915690394,6.154878016351157,19.967478906101498,23.64161399963165,high,high,low,low,low
5,4,5,1,2,5,2,5,5,3,5,5,2,2,1,1,1,2,2,5,1,2,5,2,1,1,1,4,2,2,5,4,2,1,1,2,1,2,2,1.0,5,2,2,1,2,2,2,4,1,1,10.0,-5.0,-6.0,7.0,-1.0,27.42970095760932,82.91913751143704,71.09503112747343,85.8815905198352,45.80845252974124,low,high,high,high,low
5,4,5,1,1,2,1,2,2,2,5,1,2,2,1,1,1,2,2,5,5,2,5,2,1,1,1,3,2,2,5,2,5,2,2,2,1,5,2,,5,2,1,1,2,1,2,2,1,1,18.0,-9.0,-1.0,8.0,,43.423933437140825,58.10382915690394,88.30895236181736,75.56111690555193,,low,high,high,high,low
5,4,2,2,2,2,2,2,5,3,5,1,2,1,1,1,1,2,4,5,1,2,5,2,1,2,1,4,2,2,5,4,5,2,2,2,1,5,2,,5,2,2,2,2,1,2,2,1,1,13.0,-5.0,-2.0,5.0,,10.758946994162551,82.91913751143704,29.099681781785623,17.22022453540239,,low,high,low,low,low
5,4,2,1,1,1,2,3,2,3,5,5,1,2,1,1,1,2,2,2,1,2,5,1,1,2,1,4,2,2,5,2,3,2,2,2,1,2,2,,5,2,2,2,2,1,2,2,2,1,14.0,-10.0,-4.0,4.0,,89.69705744178556,3.351090914283969,78.47127221298067,55.48786072856311,,high,low,high,high,low
5,4,5,1,1,1,1,4,2,3,2,5,2,2,1,1,1,2,2,5,2,5,5,2,1,5,1,4,1,2,5,2,5,2,2,2,1,2,2,1.0,2,2,1,2,2,1,2,4,2,1,6.0,-10.0,-8.0,10.0,-1.0,59.521087004267535,3.351090914283969,77.43575803597018,19.967478906101498,45.80845252974124,high,low,high,low,low
5,4,5,1,2,1,2,2,5,5,2,2,2,2,1,2,1,2,2,5,2,2,5,2,1,5,1,4,1,2,5,2,5,2,2,2,1,2,2,1.0,5,2,1,2,2,1,2,2,2,1,8.0,-7.0,-1.0,10.0,-2.0,31.573038023678745,80.03094526863389,88.30895236181736,19.967478906101498,15.79449662724149,low,high,high,low,low
5,4,5,1,2,2,1,5,5,3,5,5,2,2,1,1,1,2,2,5,2,2,5,1,1,1,1,3,2,1,5,2,2,2,2,2,2,2,2,1.0,5,2,1,2,2,1,2,5,2,1,15.0,-7.0,-4.0,8.0,1.0,18.86341633008024,80.03094526863389,78.47127221298067,75.56111690555193,28.65520056808501,low,high,high,high,low
5,4,2,1,1,1,2,5,2,2,5,5,2,2,1,1,1,2,4,5,1,5,5,2,1,5,1,4,2,2,5,2,2,2,2,2,1,2,2,,5,1,1,2,1,1,2,2,1,1,11.0,-8.0,-8.0,1.0,,23.179010795387956,78.62373330733222,77.43575803597018,62.72533070170514,,low,high,high,high,low
5,4,5,1,2,2,2,2,5,2,5,1,2,1,1,1,1,2,2,5,2,2,5,2,1,5,1,4,2,2,5,2,2,2,2,2,1,2,1,,5,2,2,2,1,1,3,2,2,1,11.0,-6.0,1.0,8.0,,23.179010795387956,60.86211430445535,97.12618716273646,75.56111690555193,,low,high,high,high,low
5,4,5,1,1,1,2,5,5,2,5,5,2,2,1,1,1,2,2,5,1,2,5,1,1,2,1,4,2,2,5,2,2,2,2,2,1,2,2,,5,2,2,2,2,2,2,2,2,1,13.0,-7.0,-4.0,5.0,,10.758946994162551,80.03094526863389,78.47127221298067,17.22022453540239,,low,high,high,low,low
5,4,5,1,2,2,1,2,2,3,5,5,2,2,1,1,1,2,2,5,1,4,5,2,1,2,1,4,2,2,5,2,5,2,2,5,1,2,1,,5,2,2,2,2,1,3,5,2,1,10.0,-10.0,-6.0,14.0,,27.42970095760932,3.351090914283969,71.09503112747343,11.2864545014926,,low,low,high,low,low
