EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,4,5,1,2,1,2,4,2,5,5,1,1,1,5,1,5,2,2,5,1,2,5,1,5,1,5,4,2,5,5,5,1,2,2,2,5,1,1,1.0,5,2,1,1,3,2,5,5,2,5,14.0,-7.0,12.0,7.0,8.0,89.69705744178556,80.03094526863389,42.497643648784006,85.8815905198352,99.19879134202203,high,high,low,high,high
5,5,5,1,2,2,2,2,5,5,5,5,5,1,5,1,3,5,5,5,2,5,5,2,5,2,5,4,2,5,5,2,2,2,2,5,5,2,1,1.0,5,2,1,2,3,2,5,5,1,5,10.0,-2.0,5.0,10.0,8.0,27.42970095760932,71.09296285681363,84.55011666031412,19.967478906101498,99.19879134202203,low,high,high,low,high
5,5,5,1,3,5,2,5,5,5,5,2,5,1,5,1,4,5,2,5,5,2,5,1,5,1,5,5,2,5,5,2,2,2,2,5,5,2,2,1.0,5,3,1,2,3,1,2,5,2,5,12.0,-6.0,10.0,6.0,9.0,31.687186866284332,60.86211430445535,63.54239610140829,96.12317438180868,23.922307874891292,low,high,high,high,low
5,5,5,1,2,5,2,5,5,3,5,1,2,1,5,1,2,1,2,5,1,2,5,1,2,1,5,5,2,5,5,2,5,2,5,5,5,5,2,1.0,5,5,2,1,3,2,5,1,1,2,7.0,-4.0,14.0,4.0,7.0,80.7216491799307,21.7977014618734,31.89952932069128,55.48786072856311,15.370796609217988,high,low,low,high,low
5,4,5,1,2,1,4,4,5,3,5,5,1,2,5,1,2,1,2,5,5,2,5,1,2,1,5,4,1,5,5,5,1,2,2,5,4,1,2,1.0,5,5,1,1,2,1,5,1,1,3,16.0,-4.0,9.0,4.0,4.0,14.795226431317165,21.7977014618734,64.5474771529959,55.48786072856311,57.77605750186391,low,low,high,high,high
5,5,2,1,3,1,5,5,5,3,5,2,2,1,5,1,3,5,2,5,1,2,5,1,2,1,5,5,1,5,5,5,5,2,2,3,5,2,2,1.0,5,5,1,1,5,1,5,2,2,5,14.0,-4.0,14.0,0.0,10.0,89.69705744178556,21.7977014618734,31.89952932069128,75.94729258446176,76.34765069075316,high,low,low,high,high
5,4,5,1,2,1,5,5,5,5,5,5,1,1,5,1,5,5,5,5,1,3,5,2,5,1,5,5,2,1,5,2,5,2,2,5,5,5,1,1.0,5,2,1,2,3,1,5,2,1,5,12.0,-2.0,13.0,-1.0,12.0,31.687186866284332,71.09296285681363,67.33806671847192,22.402818363485764,23.34368453554028,low,high,high,low,low
5,4,5,1,3,5,2,5,5,5,5,5,5,1,5,1,2,2,2,5,1,2,5,1,5,5,5,5,1,1,5,2,2,2,3,5,4,5,1,1.0,5,2,1,1,5,1,5,5,2,5,4.0,-3.0,7.0,6.0,16.0,85.44154131469132,39.54553199368488,72.65224195615069,96.12317438180868,47.69983680359604,high,low,high,high,low
5,5,5,1,2,5,2,5,5,3,5,5,2,2,5,1,2,5,2,5,1,5,5,1,3,2,5,5,2,1,5,5,5,2,2,5,5,2,1,1.0,5,2,2,1,3,1,5,5,1,5,7.0,-4.0,1.0,7.0,12.0,80.7216491799307,21.7977014618734,97.12618716273646,85.8815905198352,23.34368453554028,high,low,high,high,low
5,4,2,1,2,1,5,5,5,3,5,5,2,1,5,1,5,2,5,5,2,2,5,2,3,1,5,5,1,1,5,2,5,2,5,5,5,1,1,1.0,2,5,2,2,3,2,5,5,2,2,9.0,-2.0,17.0,8.0,12.0,87.37084388397592,71.09296285681363,17.451969338379914,75.56111690555193,23.34368453554028,high,high,low,high,low
